x,y,ra,dec,flux/mCrab,kind,cmosnum
3208.0,445.0,287.9565,4.9826667,9.626374494943311,b'Galactic-Compact-Binary-NS/BH'b'SS433',48
1291.0,616.0,287.816667,0.585,5.863303736484771,b'Galactic-Compact-Binary-NS'b'AqlX-1',48
3649.0,82.0,287.25,6.0774,0.3713523131672598,point,48
2575.0,2024.0,291.37,3.1113,0.26593950177935943,point,48
3882.0,2531.0,292.9,5.9352,0.255270462633452,point,48
435.0,352.0,286.99,-1.2802,0.17838434163701067,point,48
3149.0,1550.0,290.46,4.5479,0.15967971530249112,point,48
1318.0,674.0,287.96,0.62974,0.1514199288256228,point,48
2958.0,2805.0,293.26,3.7633,0.13041992882562278,point,48
2621.0,3108.0,293.85,2.911,0.12519217081850534,point,48
1163.0,1223.0,289.16,0.12617,0.10246619217081851,point,48
2950.0,1745.0,289.6990830000001,-5.2364440000000005,7.177250085917492,b'Galactic-Compact-Binary-NS'b'4U1916-053',47
2768.0,3821.0,294.3876,-6.218,2.205977229855728,b'ExtraGalactic-AGN'b'1H1934-063',47
2591.0,868.0,287.59491,-5.79943,0.8116518337711014,b'Galactic-Compact-Binary-BH'b'MAXIJ1910-057',47
2862.0,4040.0,294.91,-6.0637,0.29423843416370105,point,47
3220.0,1313.0,288.79,-4.5026,0.1602846975088968,point,47
2895.0,1942.0,290.13,-5.417000000000001,0.14834163701067615,point,47
2990.0,2168.0,290.67,-5.2664,0.12857651245551602,point,47
1492.0,1576.0,288.89,-8.5019,0.12438434163701068,point,47
1441.0,1908.0,289.64,-8.7139,0.10708185053380782,point,47
1245.0,1375.0,298.8,-0.84193,0.5678647686832741,point,46
3345.0,122.0,296.49,4.248,0.5648042704626334,point,46
3937.0,2775.0,302.68,4.9135,0.5209964412811389,point,46
1990.0,451.0,296.89,1.0893,0.25050177935943063,point,46
1931.0,2760.0,302.13,0.35961,0.1640320284697509,point,46
577.0,2508.0,301.21,-2.6539,0.14528113879003557,point,46
1942.0,1296.0,298.8,0.76298,0.13379359430604984,point,46
3197.0,963.0,298.36,3.7016,0.1032135231316726,point,46
2597.0,1288.0,298.95,2.2568,0.10284697508896799,point,46
1052.0,514.0,295.67,-10.325,0.285932384341637,point,45
974.0,253.0,295.05,-10.425,0.25651601423487547,point,45
2117.0,1135.0,297.4,-8.08,0.15649110320284698,point,45
3973.0,1848.0,299.52,-4.0529,0.1285693950177936,point,45
3125.0,804.0,296.92,-5.6992,0.12565124555160143,point,45
2525.0,637.0,296.37,-7.0149,0.11841992882562279,point,45
152.0,3056.0,301.32,-13.043,0.1037508896797153,point,45
402.0,3072.0,290.67,-20.643,1.0748042704626335,point,44
3168.0,2698.0,290.74,-14.259,0.6634875444839857,point,44
863.0,1867.0,287.94,-19.188,0.4009608540925268,point,44
2885.0,3493.0,292.51,-15.158,0.20722775800711746,point,44
1644.0,3583.0,292.32,-17.998,0.18065480427046263,point,44
2094.0,620.0,285.47,-15.937,0.16997153024911033,point,44
885.0,2488.0,289.44,-19.358,0.16565480427046264,point,44
119.0,4015.0,292.85,-21.573,0.15628825622775802,point,44
888.0,1831.0,287.86,-19.117,0.15149466192170818,point,44
2758.0,2458.0,290.04,-15.107,0.13317793594306052,point,44
3518.0,2073.0,289.41,-13.255999999999998,0.12973309608540926,point,44
2920.0,3967.0,293.63,-15.224,0.12139501779359431,point,44
100.0,1534.0,286.84,-20.784,0.12012455516014235,point,44
2280.0,1132.0,285.036,-24.92047,30.10132731463888,b'Galactic-Compact-Binary-NS'b'HETEJ1900.1-2455',43
2552.0,30.0,282.45,-23.834,0.9534519572953737,point,43
107.0,1329.0,284.51,-29.889,0.21733451957295374,point,43
406.0,3338.0,289.87,-29.968000000000004,0.2038576512455516,point,43
3483.0,3464.0,291.28,-23.044,0.20008540925266904,point,43
3141.0,2027.0,287.62,-23.327,0.1891779359430605,point,43
1452.0,3248.0,290.03,-27.575,0.1791067615658363,point,43
1977.0,2345.0,287.94,-26.074,0.15616725978647686,point,43
3428.0,1946.0,287.53,-22.65,0.15377224199288259,point,43
790.0,3801.0,291.21,-29.244,0.14720284697508898,point,43
3071.0,3035.0,290.08,-23.838,0.1410640569395018,point,43
658.0,2888.0,288.8,-29.25,0.13804626334519574,point,43
3395.0,1832.0,298.28,-14.603,0.31722775800711744,point,42
2461.0,918.0,295.9,-16.524,0.15837722419928826,point,42
1475.0,133.0,293.77,-18.566,0.12493238434163702,point,42
540.0,1255.0,295.06,-30.263,0.543202846975089,point,41
2833.0,631.0,294.18,-24.884,0.43106761565836305,point,41
3428.0,2327.0,298.57,-23.941,0.3694306049822064,point,41
742.0,2945.0,299.57,-30.189,0.3544341637010677,point,41
3618.0,3339.0,301.13,-23.698,0.2285266903914591,point,41
3046.0,353.0,293.55,-24.323,0.1987580071174377,point,41
678.0,262.0,292.52,-29.656,0.19286120996441283,point,41
119.0,3883.0,301.94,-31.753,0.1793807829181495,point,41
1762.0,4000.0,302.5,-28.027,0.16951957295373665,point,41
2429.0,897.0,294.72,-25.873,0.15638434163701068,point,41
2493.0,913.0,294.78,-25.734,0.1438220640569395,point,41
2037.0,249.0,292.96,-26.577,0.14019928825622777,point,41
2467.0,3397.0,301.07,-26.331,0.11244839857651245,point,41
3861.0,3815.0,302.35,-23.221,0.1040391459074733,point,41
1901.0,3858.0,274.005833,-14.036389000000002,673.1736071013137,b'Galactic-Compact-Binary-NS'b'GX17+2',40
536.0,4044.0,273.631458,-17.157417000000002,328.35330530348585,b'Galactic-Compact-Binary-NS'b'GX13+1',40
2699.0,3553.0,273.78,-12.095,2.4348398576512458,point,40
245.0,95.0,264.4,-15.399,0.8464056939501781,point,40
1840.0,3822.0,273.89,-14.151,0.40558718861209964,point,40
861.0,3203.0,271.89,-15.964,0.39661921708185055,point,40
2717.0,3879.0,274.52,-12.24,0.371067615658363,point,40
1880.0,3934.0,274.17,-14.125,0.34133451957295374,point,40
1721.0,145.0,265.48,-12.199000000000002,0.28359074733096085,point,40
3651.0,3898.0,275.09,-10.185,0.2478078291814947,point,40
3204.0,3124.0,273.1,-10.733,0.23323487544483987,point,40
419.0,3300.0,271.84,-16.995,0.20787900355871886,point,40
3750.0,3540.0,274.35,-9.7638,0.19776868327402136,point,40
618.0,2042.0,269.07,-15.811,0.17075800711743772,point,40
922.0,3579.0,270.28417,-25.07917,1160.3579019316603,b'Galactic-Compact-Binary-NS'b'GX5-1',39
2855.0,3107.0,270.38458,-20.52889,589.4292227113725,b'Galactic-Compact-Binary-NS'b'GX9+1',39
1842.0,2406.0,268.06307000000004,-22.34274,26.987184429200713,b'Galactic-Compact-Binary-BH'b'XTEJ1752-223',39
253.0,766.0,263.00792,-24.74583,18.217115867363407,b'Galactic-Compact-Binary-Pulsar'b'GX1+4',39
1574.0,201.0,262.66,-21.479,10.272597864768684,point,39
679.0,2391.0,267.2333,-24.895,9.298768533537405,b'Galactic-Compact-Binary-NS'b'Terzan5',39
3705.0,3836.0,272.6079,-19.07,6.051340987869085,b'Galactic-Compact-Binary-NS'b'XTEJ1810-189',39
642.0,3661.0,270.3,-25.744,3.478042704626334,point,39
1613.0,3342.0,270.16,-23.415,2.8159074733096086,point,39
3580.0,3983.0,272.88,-19.427,2.119679715302491,point,39
21.0,3187.0,268.73,-26.828000000000007,1.6168327402135232,point,39
3288.0,3422.0,271.39,-19.754,1.0258007117437724,point,39
1919.0,4072.0,272.1,-23.155,0.888185053380783,point,39
703.0,2297.0,267.02,-24.782,0.5472241992882565,point,39
1297.0,3760.0,270.97,-24.355,0.4752313167259787,point,39
3203.0,3501.0,271.52,-19.989,0.32436298932384344,point,39
1042.0,3669.0,270.58,-24.866,0.31947686832740213,point,39
3694.0,1098.0,266.25,-17.445,0.31836298932384344,point,39
27.0,2468.0,266.96,-26.373,0.3150035587188612,point,39
2106.0,2787.0,269.15,-21.994,0.29694306049822067,point,39
1312.0,3893.0,271.3,-24.398000000000003,0.20351245551601424,point,39
1301.0,3802.0,271.07,-24.37,0.19912811387900356,point,39
2728.0,22.0,263.1,-18.843,0.1648576512455516,point,39
2638.0,1419.0,266.27,-19.966,0.14323843416370108,point,39
1637.0,207.0,262.73,-21.347,0.11607117437722421,point,39
4019.0,797.0,277.4338,-9.8567,14.019882690548807,b'Galactic-Compact-Binary-Pulsar'b'XTEJ1829-098',38
3666.0,748.0,277.1415,-10.61653,6.638402831347544,b'Galactic-Compact-Binary-NS'b'SAXJ1828.5-1037',38
114.0,2311.0,278.93097,-19.32004,5.022070423670145,b'Galactic-Compact-Binary-BH'b'MAXIJ1836-194',38
1190.0,634.0,275.5763,-16.0742,3.585649799457063,b'Galactic-Compact-Binary-NS/BH'b'SwiftJ1822.3-1606',38
1097.0,518.0,275.26,-16.219,0.46177935943060494,point,38
3661.0,1462.0,278.76,-10.978,0.4405693950177937,point,38
2077.0,33.0,274.68,-13.785,0.43338078291814947,point,38
824.0,80.0,274.1,-16.593,0.42854092526690396,point,38
3801.0,1270.0,278.39,-10.573,0.3796085409252669,point,38
2079.0,29.0,274.67,-13.778,0.37149466192170816,point,38
2667.0,1043.0,277.3,-12.989,0.35871886120996443,point,38
1104.0,460.0,275.13,-16.174,0.3493914590747331,point,38
2632.0,1053.0,277.3,-13.072,0.308338078291815,point,38
3148.0,206.0,275.65,-11.493,0.28979715302491105,point,38
2600.0,1074.0,277.34,-13.154000000000002,0.2864199288256228,point,38
2078.0,40.0,274.69,-13.787,0.27553380782918147,point,38
690.0,1356.0,276.99,-17.56,0.2216761565836299,point,38
2525.0,2792.0,281.26,-14.153,0.21959074733096087,point,38
1932.0,2009.0,279.15,-15.111,0.1421459074733096,point,38
2153.0,2115.0,277.3675,-23.79694,22.770941661391074,b'Galactic-Compact-Binary-NS'b'GS1826-238',37
711.0,559.0,272.685292,-26.150333,4.171022945978914,b'Galactic-Compact-Binary-NS'b'SAXJ1810.8-2609',37
3166.0,3800.0,281.98,-22.327,0.26250889679715306,point,37
2503.0,2895.0,279.46,-23.399,0.24645907473309608,point,37
3468.0,2123.0,278.1,-20.864,0.14900711743772244,point,37
2364.0,3448.0,280.74,-23.966,0.14050177935943062,point,37
1704.0,991.0,274.36,-24.2,0.1187081850533808,point,37
978.0,4058.0,281.57,-27.345,0.1122135231316726,point,37
3513.0,2891.0,279.96,-21.135,0.10528113879003559,point,37
3446.0,3121.0,283.28,-50.179,0.7905338078291815,point,36
1604.0,3889.0,284.21,-54.707,0.3043131672597865,point,36
2048.0,2514.0,279.62,-52.822,0.2739252669039146,point,36
2375.0,73.0,271.75,-50.04600000000001,0.24494306049822065,point,36
765.0,2461.0,277.75,-55.552,0.18886832740213524,point,36
3278.0,47.0,272.97,-48.146,0.18647330960854094,point,36
1229.0,275.0,270.62,-52.61,0.1782099644128114,point,36
841.0,3158.0,280.53,-55.907,0.16643416370106762,point,36
2386.0,1390.0,276.12,-51.208,0.16255516014234878,point,36
1625.0,128.0,270.77,-51.649,0.13669039145907474,point,36
1217.0,3203.0,281.16,-55.12,0.13060498220640568,point,36
4007.0,3214.0,284.12,-49.004,0.12332740213523133,point,36
2846.0,503.0,273.81,-49.465,0.11859430604982207,point,36
3973.0,3708.0,285.75,-49.365,0.10258718861209964,point,36
3817.0,1451.0,278.11,-48.197,0.10107473309608542,point,36
126.0,301.0,259.2478,-62.8206,4.425297476136164,b'ExtraGalactic-AGN'b'NGC6300',35
3198.0,991.0,269.39,-57.665,0.4688967971530249,point,35
1534.0,923.0,265.51,-60.92,0.3094768683274021,point,35
2325.0,221.0,264.63,-58.544,0.2626654804270463,point,35
3231.0,2158.0,274.04,-58.736,0.22401779359430604,point,35
3403.0,2597.0,276.11,-58.755,0.21338790035587188,point,35
1230.0,3203.0,274.92,-63.886,0.21137366548042708,point,35
94.0,2050.0,266.77,-65.063,0.20789679715302492,point,35
690.0,1989.0,268.02,-63.808,0.19780782918149467,point,35
4022.0,2702.0,277.49,-57.522,0.1688149466192171,point,35
3836.0,1388.0,272.08,-56.756,0.1493523131672598,point,35
1971.0,3316.0,276.84,-62.404,0.14866903914590748,point,35
1682.0,1016.0,266.24,-60.737,0.12260142348754449,point,35
1736.0,537.0,264.46,-60.069,0.11559786476868328,point,35
3937.0,1376.0,272.21,-56.537,0.11524199288256229,point,35
2085.0,2490.0,273.33,-61.44600000000001,0.11479003558718862,point,35
2818.0,1106.0,269.07,-58.555,0.10194306049822065,point,35
3241.0,2904.0,277.13,-59.353,0.10187544483985765,point,35
2287.0,393.0,265.2,-58.822,0.10131672597864769,point,35
1168.0,1731.0,291.49,-56.562,4.740213523131673,point,34
212.0,1599.0,290.3092,-58.6708,2.422966972079857,b'ExtraGalactic-AGN'b'ESO141-55',34
2756.0,171.0,286.58,-52.341,1.6341281138790034,point,34
864.0,3618.0,299.3,-57.64,0.6503914590747331,point,34
3603.0,2210.0,294.52,-51.164,0.4718505338078292,point,34
3111.0,1041.0,290.01,-51.92100000000001,0.2686725978647687,point,34
2398.0,906.0,289.05,-53.472,0.21007117437722422,point,34
2406.0,1617.0,291.75,-53.717,0.19012811387900358,point,34
1709.0,4030.0,301.08,-55.73,0.1887722419928826,point,34
1964.0,541.0,287.33,-54.288,0.16292882562277583,point,34
2336.0,3763.0,300.07,-54.288,0.14003558718861212,point,34
1741.0,3407.0,298.57,-55.62,0.13310320284697508,point,34
88.0,1656.0,290.47,-58.971,0.1329644128113879,point,34
3420.0,2164.0,294.28,-51.57,0.12444128113879004,point,34
1281.0,3474.0,298.76,-56.677,0.10928469750889681,point,34
965.0,3686.0,299.6,-57.415,0.10802135231316727,point,34
1245.0,440.0,281.41,-64.862,0.7874021352313167,point,33
